Flow;Density;AveSpeed;Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday
9;0.3188976377952756;28.22222222222222;0;0;0;0;0;0;1
13;0.37892376681614354;34.30769230769231;0;0;0;0;0;0;1
13;0.43444730077120824;29.923076923076923;0;0;0;0;0;0;1
10;0.32894736842105265;30.4;0;0;0;0;0;0;1
22;0.7107195301027901;30.954545454545453;0;0;0;0;0;0;1
19;0.5605590062111802;33.89473684210526;0;0;0;0;0;0;1
5;0.18518518518518517;27.0;0;0;0;0;0;0;1
14;0.49122807017543857;28.5;0;0;0;0;0;0;1
21;0.6066024759284732;34.61904761904762;0;0;0;0;0;0;1
9;0.3403361344537815;26.444444444444443;0;0;0;0;0;0;1
19;0.6129032258064516;31.0;0;0;0;0;0;0;1
16;0.5366876310272537;29.8125;0;0;0;0;0;0;1
6;0.17475728155339804;34.333333333333336;0;0;0;0;0;0;1
19;0.6685185185185185;28.42105263157895;0;0;0;0;0;0;1
13;0.47875354107648727;27.153846153846153;0;0;0;0;0;0;1
9;0.26999999999999996;33.333333333333336;0;0;0;0;0;0;1
26;0.8407960199004975;30.923076923076923;0;0;0;0;0;0;1
17;0.5463137996219282;31.11764705882353;0;0;0;0;0;0;1
13;0.3470225872689939;37.46153846153846;0;0;0;0;0;0;1
24;0.7549148099606815;31.791666666666668;0;0;0;0;0;0;1
18;0.5827338129496403;30.88888888888889;0;0;0;0;0;0;1
11;0.32526881720430106;33.81818181818182;0;0;0;0;0;0;1
18;0.5664335664335665;31.77777777777778;0;0;0;0;0;0;1
32;1.0078740157480315;31.75;0;0;0;0;0;0;1
12;0.36923076923076925;32.5;0;0;0;0;0;0;1
29;0.8852631578947368;32.758620689655174;0;0;0;0;0;0;1
31;0.9746450304259635;31.806451612903224;0;0;0;0;0;0;1
5;0.13157894736842105;38.0;0;0;0;0;0;0;1
24;0.8495575221238938;28.25;0;0;0;0;0;0;1
25;0.7548309178743962;33.12;0;0;0;0;0;0;1
11;0.3538011695906433;31.09090909090909;0;0;0;0;0;0;1
36;1.1039182282793867;32.611111111111114;0;0;0;0;0;0;1
25;0.7548309178743962;33.12;0;0;0;0;0;0;1
17;0.5043630017452008;33.705882352941174;0;0;0;0;0;0;1
30;0.970873786407767;30.9;0;0;0;0;0;0;1
25;0.7309941520467835;34.2;0;0;0;0;0;0;1
3;0.10465116279069767;28.666666666666668;0;0;0;0;0;0;1
31;1.0137130801687764;30.580645161290324;0;0;0;0;0;0;1
34;1.0275555555555556;33.088235294117645;0;0;0;0;0;0;1
18;0.5217391304347826;34.5;0;0;0;0;0;0;1
30;0.9433962264150944;31.8;0;0;0;0;0;0;1
41;1.1921985815602836;34.390243902439025;0;0;0;0;0;0;1
16;0.5069306930693069;31.5625;0;0;0;0;0;0;1
27;0.8678571428571429;31.11111111111111;0;0;0;0;0;0;1
